anny;districte;barri;senseDones;primarisDones;secundarisDones;mitjansDones;superiorsDones;senseHomes;primarisHomes;secundarisHomes;mitjansHomes;superiorsHomes
2011;4;21. Pedralbes;292;592;833;1575;2105;272;284;492;1173;2338
2011;5;22. Vallvidrera, el Tibidabo i les Planes;167;270;299;446;668;123;218;277;441;613
2011;5;23. Sarria;732;1249;1639;2655;4653;534;637;1122;2293;4326
2011;5;24. les Tres Torres;405;630;102;2083;2941;342;303;606;1472;3108
2011;5;25. Sant Gervasi - la Bonanova;671;1188;1713;3224;4652;503;590;1065;2478;4504
2011;5;26. Sant Gervasi - Galvany;1181;2224;3237;6504;8942;944;1033;1919;4586;8834
2011;5;27. el Putxet i el Farro;782;1567;2116;3714;577;621;1327;1675;3129;5159
2011;6;28. Vallcarca i els Penitents;595;117;1338;1754;2456;354;754;1089;179;2059
2011;6;29. el Coll;364;658;672;805;869;242;520;650;827;721
2011;6;30. la Salut;505;1009;1198;1543;2153;377;602;941;1574;1764
2011;6;31. la Vila de Gracia;1899;4364;392;536;9441;1188;3345;3491;5534;7142
2011;6;32. el Camp d'en Grassot i Gracia Nova;1306;2918;3121;389;5517;862;1809;2599;4064;449
2011;7;33. el Baix Guinardo;1306;2658;261;2893;3224;800;1774;2281;3025;2559
2011;7;34. Can Baro;595;987;903;883;873;373;808;853;974;682
2011;7;35. el Guinardo;1658;3702;365;3997;4031;1073;2561;3174;4296;323
2011;7;36. la Font d'en Fargues;423;854;946;973;1091;326;585;863;1103;945
2011;7;37. el Carmel;303;408;351;2643;1441;2101;3809;3756;2678;1091
2011;7;38. la Teixonera;906;1339;1197;1029;684;643;1291;1288;1062;490
2011;7;39. Sant Genis dels Agudells;578;838;696;656;519;372;769;700;659;402
2011;7;40. Montbau;414;649;472;493;527;213;425;453;525;383
2011;7;41. la Vall d'Hebron;271;571;526;538;683;209;452;483;624;521
2011;7;42. la Clota;36;45;51;33;45;21;73;41;39;20
2011;7;43. Horta;1875;316;2564;2695;2384;1294;2931;26;2939;1726
2011;8;44. Vilapicina i la Torre Llobeta;1633;3079;2792;2601;2178;1058;2277;2571;2786;1571
2011;8;45. Porta;1864;3264;2511;2249;161;1303;2991;2682;2457;1134
2011;8;46. el Turo de la Peira;126;2303;1555;1294;794;775;1807;1578;1394;582
2011;8;47. Can Peguera;246;359;226;165;64;152;321;221;174;39
2011;8;48. la Guineueta;1156;2028;1637;1404;985;764;1514;1608;1634;760
2011;8;49. Canyelles;632;1071;818;509;311;461;968;808;554;215
2011;8;50. les Roquetes;1645;2176;1695;103;488;1151;234;1836;1015;327
2011;8;51. Verdun;1202;1798;1331;979;499;772;1635;1351;915;345
2011;8;52. la Prosperitat;2619;3401;2824;2142;115;1728;3239;3044;2202;816
2011;8;53. la Trinitat Nova;819;1157;795;475;200;470;1154;869;473;152
2011;8;54. Torre Baro;255;344;177;68;40;208;388;211;80;31
2011;8;55. Ciutat Meridiana;817;1715;1036;609;231;666;2027;1249;616;172
2011;8;56. Vallbona;134;223;113;67;40;87;238;121;78;30
2011;9;57. la Trinitat Vella;754;1346;987;643;374;604;1777;1214;762;262
2011;9;58. Baro de Viver;254;365;215;124;41;149;357;248;139;41
2011;9;59. el Bon Pastor;843;168;1195;968;639;681;2128;1476;109;487
2011;9;60. Sant Andreu;2899;6202;572;5821;5338;1992;4751;5402;6738;3857
2011;9;61. la Sagrera;1532;3457;32;3113;2568;1034;2604;2937;3361;199
2011;9;62. el Congres i els Indians;832;1673;1384;1526;137;484;1148;1327;1616;1017
2011;9;63. Navas;1086;2475;2321;2365;2091;693;1671;2128;2594;1741
2011;10;64. el Camp de l'Arpa del Clot;1809;4072;3878;4124;4272;1136;2979;3492;455;3538
2011;10;65. el Clot;1322;2802;2767;2749;2679;915;2291;2605;3191;2176
2011;10;66. el Parc i la Llacuna del Poblenou;617;1349;1306;1435;1766;430;1069;1242;1545;1475
2011;10;67. la Vila Olimpica del Poblenou;255;344;556;782;1892;225;256;465;852;1827
2011;10;68. el Poblenou;1572;3089;2737;2987;3681;1046;2742;2794;3428;3136
2011;10;69. Diagonal Mar i el Front Maritim del Poblenou;494;900;824;1088;1917;303;698;866;1218;1741
2011;10;70. el Besos i el Maresme;2071;3009;239;1585;887;1514;4218;2776;1677;730
2011;10;71. Provencals del Poblenou;1217;217;2035;1834;165;843;1952;1975;209;1369
2011;10;72. Sant Marti de Provencals;1852;3525;2715;249;178;1114;2688;2703;2763;1421
2011;10;73. la Verneda i la Pau;2516;3859;3217;248;1446;1666;3406;326;2733;1073
2010;1;1. el Raval;2441;6059;3471;3297;4109;1914;922;4362;39;386
2010;1;2. el Barri Gotic;760;1617;1115;1654;2512;663;2753;1602;2027;2409
2010;1;3. la Barceloneta;1289;2078;1308;1187;146;820;2079;1568;1445;1309
2010;1;4. Sant Pere, Santa Caterina i la Ribera;1231;2225;1473;2087;3321;851;2572;169;2286;2924
2010;2;5. el Fort Pienc;1451;2987;2675;3625;4515;105;2507;2314;384;4018
2010;2;6. la Sagrada Familia;2662;5546;4613;5661;7074;1753;3543;3884;5952;5883
2010;2;7. la Dreta de l'Eixample;1601;3016;2873;5213;8348;1155;1693;2002;4569;7529
2010;2;8. l'Antiga Esquerra de l'Eixample;1664;3286;3093;5039;7376;1064;1968;2283;4746;672
2010;2;9. la Nova Esquerra de l'Eixample;2669;5297;4737;6732;8716;1755;319;3771;6823;7941
2010;2;10. Sant Antoni;1947;4148;3323;4139;4893;1238;2869;2931;4371;4384
2010;3;11. el Poble Sec - Parc Montjuic;2471;5555;3466;3435;3611;1608;5521;3677;3786;2973
2010;3;12. la Marina del Prat Vermell - Zona Franca;136;193;71;39;10;103;197;117;37;10
2010;3;13. la Marina de Port;2327;443;2561;2418;1491;1688;3982;2681;2791;1158
2010;3;14. la Font de la Guatlla;591;1231;932;1007;1091;407;969;845;1135;917
2010;3;15. Hostafrancs;930;1944;145;1515;1578;647;1777;1396;1658;132
2010;3;16. la Bordeta;1186;2424;1786;1813;1426;857;193;1684;1989;1135
2010;3;17. Sants - Badal;1639;3304;226;2281;2126;1115;2684;2068;246;1757
2010;3;18. Sants;2323;4938;3728;4115;4711;166;4437;3518;4516;3809
2010;4;19. les Corts;2258;3813;3745;5492;6939;1706;2983;2883;5237;6899
2010;4;20. la Maternitat i Sant Ramon;1291;2196;1936;2697;3165;953;1465;1469;2687;3099
2010;4;21. Pedralbes;367;659;745;1579;2024;353;346;409;1133;2297
2010;5;22. Vallvidrera, el Tibidabo i les Planes;217;282;260;437;623;152;237;221;431;589
2010;5;23. Sarria;943;1329;145;2637;4391;732;730;907;2214;4193
2010;5;24. les Tres Torres;568;704;859;2002;29;467;380;442;1422;3039
2010;5;25. Sant Gervasi - la Bonanova;867;1291;1497;3147;449;719;679;800;2396;4368
2010;5;26. Sant Gervasi - Galvany;1588;2412;2902;6416;8587;1258;1211;154;4506;8712
2010;5;27. el Putxet i el Farro;1019;1729;1994;3704;5583;873;1589;1543;3144;5081
2010;6;28. Vallcarca i els Penitents;725;126;1243;1714;2336;475;839;1005;1775;1989
2010;6;29. el Coll;414;687;611;772;821;307;549;582;828;709
2010;6;30. la Salut;625;1046;1127;1553;2045;508;633;817;1559;1728
2010;6;31. la Vila de Gracia;2206;4665;3827;5608;9193;1451;3806;3499;5666;6959
2010;6;32. el Camp d'en Grassot i Gracia Nova;1633;3098;2874;3883;5246;1127;1932;2336;4017;4341
2010;7;33. el Baix Guinardo;1549;2792;2396;2888;3079;1011;1834;2077;2994;2523
2010;7;34. Can Baro;682;1024;843;877;831;431;821;787;952;648
2010;7;35. el Guinardo;1976;3789;3361;3952;3857;1317;2708;297;4246;3144
2010;7;36. la Font d'en Fargues;528;911;884;934;1033;424;631;786;1073;925
2010;7;37. el Carmel;3304;4181;3302;2535;1354;2305;3937;3532;2707;1021
2010;7;38. la Teixonera;961;1369;1147;1007;620;706;1323;1229;1064;483
2010;7;39. Sant Genis dels Agudells;609;884;649;636;517;388;816;646;670;407
2010;7;40. Montbau;452;682;438;489;488;243;431;408;528;376
2010;7;41. la Vall d'Hebron;327;574;480;523;671;257;460;435;626;516
2010;7;42. la Clota;39;44;48;20;41;21;75;37;40;25
2010;7;43. Horta;2114;3328;2347;2638;2289;1548;3168;245;2899;1666
2010;8;44. Vilapicina i la Torre Llobeta;1865;3151;258;2517;2081;1228;2359;2419;2754;1515
2010;8;45. Porta;2077;3257;231;2112;1488;1444;2603;2331;2289;1016
2010;8;46. el Turo de la Peira;1381;2496;1515;1322;797;902;254;1759;1514;615
2010;8;47. Can Peguera;264;373;206;146;64;168;328;203;168;39
2010;8;48. la Guineueta;1278;2083;1494;1341;949;848;1581;1485;1578;732
2010;8;49. Canyelles;726;1117;746;491;283;533;1012;744;540;203
2010;8;50. les Roquetes;1765;2232;155;1014;439;1222;2435;1745;992;311
2010;8;51. Verdun;1288;1852;1235;917;466;831;1658;1306;877;318
2010;8;52. la Prosperitat;2913;3437;262;2079;1064;1935;33;2888;2152;776
2010;8;53. la Trinitat Nova;899;1205;741;461;208;494;1179;854;463;151
2010;8;54. Torre Baro;272;344;168;57;38;223;377;190;74;26
2010;8;55. Ciutat Meridiana;873;1786;987;602;231;721;2084;1163;635;173
2010;8;56. Vallbona;133;224;100;64;40;83;238;113;71;29
2010;9;57. la Trinitat Vella;803;1379;946;659;333;650;1861;1164;756;253
2010;9;58. Baro de Viver;277;371;188;123;45;173;364;222;136;31
2010;9;59. el Bon Pastor;922;1762;1121;972;622;753;2292;1482;1137;513
2010;9;60. Sant Andreu;3511;6401;5311;5634;4855;2509;4953;4922;6563;3582
2010;9;61. la Sagrera;1838;3524;2966;2985;24;1285;267;2726;3327;1884
2010;9;62. el Congres i els Indians;954;1729;1267;1469;1289;557;1181;122;158;982
2010;9;63. Navas;1291;2527;213;2303;2007;844;1715;195;2523;1684
2010;10;64. el Camp de l'Arpa del Clot;2113;4199;3654;4101;4113;1385;3082;3303;4553;3425
2010;10;65. el Clot;1554;2954;2635;2695;2538;1122;2442;2444;3127;2105
2010;10;66. el Parc i la Llacuna del Poblenou;763;1399;1227;1365;1656;568;1121;1109;1507;1404
2010;10;67. la Vila Olimpica del Poblenou;339;376;450;758;1858;290;281;348;856;1803
2010;10;68. el Poblenou;1805;3214;2563;2917;3367;1242;2907;2595;3353;2891
2010;10;69. Diagonal Mar i el Front Maritim del Poblenou;525;907;765;1068;1699;336;711;813;115;1588
2010;10;70. el Besos i el Maresme;2266;3098;2241;1535;834;1692;4495;258;1684;708
2010;10;71. Provencals del Poblenou;1421;2258;1859;1752;1498;957;2012;1822;2028;1276
2010;10;72. Sant Marti de Provencals;2056;363;2514;2442;167;1315;2766;2515;274;1345
2010;10;73. la Verneda i la Pau;2882;3953;2909;2442;1358;1919;3495;3052;2675;1015
2009;1;1. el Raval;2536;6126;3496;3402;3952;2017;9594;4497;4003;3748
2009;1;2. el Barri Gotic;839;1978;1306;1885;2545;760;3392;1916;2347;2477
2009;1;3. la Barceloneta;139;2165;1294;1176;1322;873;2184;1575;1451;1192
2009;1;4. Sant Pere, Santa Caterina i la Ribera;1302;2375;1515;2082;3066;880;2729;1682;2308;2778
2009;2;5. el Fort Pienc;1528;3129;2726;3736;4372;108;2539;2386;395;3902
2009;2;6. la Sagrada Familia;2824;5722;4626;5836;6749;1865;3679;3882;613;5624
2009;2;7. la Dreta de l'Eixample;1681;319;2912;5358;8123;1162;1798;2036;4631;7338
2009;2;8. l'Antiga Esquerra de l'Eixample;1745;3488;313;5187;7061;1101;2061;2289;4828;6471
2009;2;9. la Nova Esquerra de l'Eixample;2819;5502;4758;6838;8295;185;3478;3714;7007;7691
2009;2;10. Sant Antoni;2093;4252;3324;4245;4689;1295;2976;2936;4532;4227
2009;3;11. el Poble Sec - Parc Montjuic;2621;5746;3391;3499;3323;1704;5734;3554;383;2791
2009;3;12. la Marina del Prat Vermell - Zona Franca;144;196;76;39;5;102;197;117;32;7
2009;3;13. la Marina de Port;2406;4491;2506;244;1368;1686;4108;2662;2844;1054
2009;3;14. la Font de la Guatlla;630;1272;924;1;104;430;1002;846;1143;869
2009;3;15. Hostafrancs;977;2021;1454;1521;1428;683;192;1403;1703;1272
2009;3;16. la Bordeta;1244;2501;1806;1847;1344;899;2027;1702;2027;1092
2009;3;17. Sants - Badal;1733;3401;2243;2296;1953;1182;2757;204;2473;1649
2009;3;18. Sants;2475;5202;3645;4135;4287;1722;4587;3464;4512;3575
2009;4;19. les Corts;2374;3941;3758;561;6624;1717;2976;2891;5475;6632
2009;4;20. la Maternitat i Sant Ramon;1376;2269;1959;2772;3002;993;155;1509;2728;2904
2009;4;21. Pedralbes;369;690;748;1627;1907;364;369;406;1152;2251
2009;5;22. Vallvidrera, el Tibidabo i les Planes;221;307;261;427;587;163;264;232;430;546
2009;5;23. Sarria;956;1396;1472;269;4165;728;756;895;2279;405
2009;5;24. les Tres Torres;582;752;867;2065;2818;466;398;452;1456;2985
2009;5;25. Sant Gervasi - la Bonanova;891;1394;1522;3232;4298;735;737;815;2452;4216
2009;5;26. Sant Gervasi - Galvany;1634;256;2929;6684;8319;1276;1301;1529;4673;857
2009;5;27. el Putxet i el Farro;1083;18;2041;3816;5338;895;1513;1548;3281;4884
2009;6;28. Vallcarca i els Penitents;765;1357;1221;1757;2286;491;879;1023;1831;1959
2009;6;29. el Coll;440;711;603;799;788;323;581;577;846;659
2009;6;30. la Salut;677;1099;1139;158;1976;513;687;806;1599;1632
2009;6;31. la Vila de Gracia;2346;4972;3913;5842;8615;1528;39;3519;5912;6572
2009;6;32. el Camp d'en Grassot i Gracia Nova;1686;3234;2878;4034;5008;1161;2035;236;4097;4155
2009;7;33. el Baix Guinardo;1632;285;2398;294;295;1059;1895;2078;3062;2444
2009;7;34. Can Baro;706;1049;840;905;789;462;849;802;985;629
2009;7;35. el Guinardo;2059;3885;3395;397;3673;1363;2814;2971;4324;3011
2009;7;36. la Font d'en Fargues;559;948;878;964;969;443;656;792;1096;874
2009;7;37. el Carmel;3452;4291;3252;2574;1273;238;4056;3506;2738;999
2009;7;38. la Teixonera;990;1382;1121;1031;588;727;1355;1217;1086;452
2009;7;39. Sant Genis dels Agudells;623;913;653;632;515;400;853;665;685;412
2009;7;40. Montbau;474;699;430;491;482;247;457;403;535;375
2009;7;41. la Vall d'Hebron;349;586;468;543;607;272;470;441;630;495
2009;7;42. la Clota;38;44;50;22;42;23;76;50;40;28
2009;7;43. Horta;2239;3409;2331;2671;2127;1604;3223;2433;2909;1578
2009;8;44. Vilapicina i la Torre Llobeta;1947;3262;257;2578;1959;1298;2451;2393;2785;1441
2009;8;45. Porta;2184;3301;2323;21;1403;1496;2712;2335;2342;964
2009;8;46. el Turo de la Peira;1422;2496;1495;1288;741;896;2457;172;148;586
2009;8;47. Can Peguera;270;367;197;142;60;172;329;194;165;36
2009;8;48. la Guineueta;1325;2128;1496;137;910;890;1633;1453;1593;712
2009;8;49. Canyelles;759;1123;737;495;268;551;1029;744;552;175
2009;8;50. les Roquetes;1819;225;1531;995;393;128;2505;1727;999;288
2009;8;51. Verdun;1355;1865;1198;903;429;874;1691;1277;900;291
2009;8;52. la Prosperitat;303;3492;2599;2077;996;1984;3384;2877;2166;723
2009;8;53. la Trinitat Nova;955;1254;742;465;211;533;1242;861;495;150
2009;8;54. Torre Baro;284;347;162;59;32;225;397;186;77;23
2009;8;55. Ciutat Meridiana;893;1838;1001;606;217;740;2165;1177;648;171
2009;8;56. Vallbona;135;221;99;70;37;84;231;112;69;27
2009;9;57. la Trinitat Vella;838;1345;910;680;312;654;1928;1184;772;265
2009;9;58. Baro de Viver;285;381;185;110;47;172;382;221;133;33
2009;9;59. el Bon Pastor;963;1795;1137;989;609;765;2252;1465;1153;497
2009;9;60. Sant Andreu;3727;6567;5248;5702;4465;2653;5156;484;6626;3334
2009;9;61. la Sagrera;1967;3599;2919;3006;2151;1333;2766;2683;3411;1763
2009;9;62. el Congres i els Indians;985;1786;1239;1487;1216;590;1221;1232;1634;952
2009;9;63. Navas;1379;2607;2128;2329;1906;903;1802;1912;257;1599
2009;10;64. el Camp de l'Arpa del Clot;226;4367;3658;4207;3887;1482;3258;3341;4677;3317
2009;10;65. el Clot;1659;3047;2583;2717;2397;1221;2498;2424;3169;1953
2009;10;66. el Parc i la Llacuna del Poblenou;833;1423;1194;1337;1476;585;1152;1073;1508;1302
2009;10;67. la Vila Olimpica del Poblenou;340;384;442;767;1777;267;297;356;862;176
2009;10;68. el Poblenou;1895;3305;2551;288;3039;1273;3019;2594;3307;2615
2009;10;69. Diagonal Mar i el Front Maritim del Poblenou;543;931;734;998;1495;344;751;755;1105;1426
2009;10;70. el Besos i el Maresme;2375;3143;2199;1532;772;1752;4522;2639;1734;705
2009;10;71. Provencals del Poblenou;1508;2345;1813;1754;1348;997;2068;1807;2039;1124
2009;10;72. Sant Marti de Provencals;2137;3743;2489;2424;1563;1393;2859;2488;2763;1295
2009;10;73. la Verneda i la Pau;2988;4033;2919;2478;1258;1997;3608;3026;2701;950
