anny;districte;barri;senseDones;primarisDones;secundarisDones;mitjansDones;superiorsDones;senseHomes;primarisHomes;secundarisHomes;mitjansHomes;superiorsHomes
2015;10;73. la Verneda i la Pau;1162;4185;3521;2674;1711;632;3336;3601;2925;1212
2014;1;1. el Raval;1706;5301;3874;3388;4514;1350;8529;5040;3962;4374
2014;1;2. el Barri Gotic;432;1059;1052;1578;2696;350;1510;1405;1833;2577
2014;1;3. la Barceloneta;884;1544;1507;1283;1717;530;1555;1796;1442;1470
2014;1;4. Sant Pere, Santa Caterina i la Ribera;790;1783;1555;2063;3974;551;1958;1908;2328;3438
2014;2;5. el Fort Pienc;786;2341;2767;3740;5272;451;1603;2427;3917;4531
2014;2;6. la Sagrada Familia;1445;4429;4930;5979;8337;798;2602;4338;6273;6761
2014;2;7. la Dreta de l Eixample;803;2215;2900;5214;9830;427;1137;2266;4752;8603
2014;2;8. l Antiga Esquerra de l Eixample;824;2452;3113;5139;8698;465;1304;2498;4885;7717
2014;2;9. la Nova Esquerra de l Eixample;1309;4210;4839;7085;10416;709;2374;4107;7149;9144
2014;2;10. Sant Antoni;1173;3414;3506;4212;5908;629;2293;3232;4612;5146
2014;3;11. el Poble Sec - AEI Parc Montjuic;1642;4537;3881;3624;4459;967;4545;4359;4043;3586
2014;3;12. la Marina del Prat Vermell - AEI Zona Franca;116;178;120;54;28;96;151;186;54;18
2014;3;13. la Marina de Port;1613;3717;3332;2901;1849;1078;3105;3614;3115;1372
2014;3;14. la Font de la Guatlla;386;1013;1038;1116;1362;213;766;987;1245;1070
2014;3;15. Hostafrancs;576;1605;1560;1668;1981;370;1365;1559;1767;1621
2014;3;16. la Bordeta;721;2027;2016;2057;1800;421;1476;2030;2240;1401
2014;3;17. Sants - Badal;1035;2716;2536;2554;2634;620;2075;2493;2702;2044
2014;3;18. Sants;1431;3840;3850;4441;5708;835;2935;3817;4797;4538
2014;4;19. les Corts;1078;3010;3803;5840;8135;606;1765;2980;5618;7604
2014;4;20. la Maternitat i Sant Ramon;734;1811;2050;2827;3827;422;1095;1732;2866;3402
2014;4;21. Pedralbes;150;454;757;1585;2341;115;163;479;1250;2517
2014;5;22. Vallvidrera, el Tibidabo i les Planes;109;205;298;502;798;75;149;315;496;716
2014;5;23. Sarria;421;989;1540;2835;5143;290;437;1093;2462;4715
2014;5;24. les Tres Torres;208;481;909;2280;3427;139;164;581;1743;3400
2014;5;25. Sant Gervasi - la Bonanova;381;936;1641;3459;5156;237;556;1089;2797;4874
2014;5;26. Sant Gervasi - Galvany;598;1703;2911;6727;10006;432;698;1841;4865;9424
2014;5;27. el Putxet i el Farro;437;1146;1967;3900;6267;268;522;1484;3284;5422
2014;6;28. Vallcarca i els Penitents;397;969;1281;1824;2781;224;594;1118;1833;2221
2014;6;29. el Coll;275;570;702;840;977;157;426;668;874;781
2014;6;30. la Salut;344;840;1149;1623;2430;247;468;921;1619;1922
2014;6;31. la Vila de Gracia;1302;3581;3761;5440;10689;672;2323;3432;5487;7929
2014;6;32. el Camp d en Grassot i Gracia Nova;825;2440;2988;4049;6188;460;1367;2516;4165;5021
2014;7;33. el Baix Guinardo;933;2259;2562;3096;3524;486;1352;2346;3155;2879
2014;7;34. Can Baro;463;785;920;940;1030;263;643;925;1002;765
2014;7;35. el Guinardo;1206;3156;3619;4272;4591;701;2038;3382;4488;3553
2014;7;36. la Font d en Fargues;289;713;948;1051;1232;185;431;884;1207;1060
2014;7;37. el Carmel;2423;3370;3949;2869;1661;1561;3020;4394;2787;1193
2014;7;38. la Teixonera;727;1177;1342;1122;778;464;1022;1506;1152;567
2014;7;39. Sant Genis dels Agudells;451;700;767;716;570;269;597;778;701;440
2014;7;40. Montbau;302;569;519;540;577;145;342;505;557;389
2014;7;41. la Vall d Hebron;194;479;518;578;719;121;375;516;681;537
2014;7;42. la Clota;27;33;61;44;71;18;49;63;48;37
2014;7;43. Horta;1406;2656;2701;2911;2737;875;2119;2727;3116;1905
2014;8;44. Vilapicina i la Torre Llobeta;1199;2693;2910;2839;2529;674;1849;2778;3006;1792
2014;8;45. Porta;1523;2892;2720;2490;1799;933;2229;2905;2621;1237
2014;8;46. el Turo de la Peira;1028;2055;1827;1471;898;559;1569;1768;1515;645
2014;8;47. Can Peguera;193;316;290;174;80;127;237;317;182;57
2014;8;48. la Guineueta;864;1743;1777;1549;1145;504;1194;1804;1666;856
2014;8;49. Canyelles;493;888;920;574;372;336;748;962;621;225
2014;8;50. les Roquetes;1309;1828;1982;1170;549;868;1791;2178;1080;384
2014;8;51. Verdun;970;1489;1597;1092;592;564;1352;1559;963;360
2014;8;52. la Prosperitat;2169;3020;3159;2394;1285;1301;2613;3470;2333;895
2014;8;53. la Trinitat Nova;654;954;980;532;222;351;907;1066;482;163
2014;8;54. Torre Baro;211;306;318;141;91;169;342;375;146;60
2014;8;55. Ciutat Meridiana;656;1471;1238;697;274;484;1472;1469;620;192
2014;8;56. Vallbona;107;171;154;75;54;64;170;183;82;38
2014;9;57. la Trinitat Vella;617;1156;1152;700;404;474;1481;1427;781;282
2014;9;58. Baro de Viver;210;333;327;133;60;109;310;371;160;58
