anny;districte;nom;visites;prestecs
2012;5;Biblioteca Collserola - Josep Miracle;34932;36804
2012;6;Biblioteca Jaume Fuster;660125;349990
2012;6;Biblioteca Vallcarca i els Penitents;61771;49627
2012;6;Biblioteca Vila de Gràcia;216008;158966
2012;7;Biblioteca El Carmel - Juan Marsé;185796;149799
2012;7;Biblioteca Guinardó - Mercè Rodoreda;250649;174014
2012;7;Biblioteca Horta - Can Mariner;181691;125762
2012;7;Biblioteca Montbau - Albert Pérez Baró;40724;50026
2012;8;Biblioteca Canyelles;17412;22974
2012;8;Biblioteca Les Roquetes;89445;61690
2012;8;Biblioteca Nou Barris;281618;149483
2012;8;Biblioteca Vilapicina i la Torre Llobeta;129259;106045
2012;8;Biblioteca Zona Nord;94723;49082
2012;9;Biblioteca Bon Pastor;89614;61996
2012;9;Biblioteca Ignasi Iglésias - Can Fabra;407460;279701
2012;9;Biblioteca La Sagrera - Marina Clotet;80404;83015
2012;9;Biblioteca Trinitat Vella - J. Barbero;89254;28866
2012;10;Biblioteca Camp de l'Arpa - Caterina Albert;87579;71194
2012;10;Biblioteca Poblenou - Manuel Arranz;188084;168736
2012;10;Biblioteca Ramon d'Alòs-Moner;43841;42215
2012;10;Biblioteca Sant Martí de Provençals;65979;59296
2012;10;Biblioteca Xavier Benguerel;137278;149268
2011;1;Biblioteca Barceloneta - La Fraternitat;93930;93113
2011;1;Biblioteca Francesca Bonnemaison;167887;160468
2011;1;Biblioteca Gòtic - Andreu Nin;104167;75071
2011;1;Biblioteca Sant Pau i Santa Creu;222407;120911
2011;2;Biblioteca Esquerra de l'Eixample-Agustí Centelles;209956;149872
2011;2;Biblioteca Fort Pienc;211526;147232
2011;2;Biblioteca Joan Miró;170317;146368
2011;2;Biblioteca Sagrada Família;400198;317718
2011;2;Biblioteca Sant Antoni - Joan Oliver;165867;119106
2011;2;Biblioteca Sofia Barat;105212;96113
2011;3;Biblioteca Francesc Candel;134465;116136
2011;3;Biblioteca Poble Sec - Francesc Boix;122238;91297
2011;3;Biblioteca Vapor Vell;358797;214553
2011;4;Biblioteca Can Rosés;111569;80023
2011;4;Biblioteca Les Corts - Miquel Llongueras;229989;134260
2011;5;Biblioteca Clarà;111961;117587
2011;5;Biblioteca Collserola - Josep Miracle;36641;36735
2011;6;Biblioteca Jaume Fuster;717964;364808
2011;6;Biblioteca Vallcarca i els Penitents;18057;12958
2011;6;Biblioteca Vila de Gràcia;225027;163719
2011;7;Biblioteca El Carmel - Juan Marsé;206049;148562
2011;7;Biblioteca Guinardó - Mercè Rodoreda;273898;178136
2011;7;Biblioteca Horta - Can Mariner;176212;129603
2011;7;Biblioteca Montbau - Albert Pérez Baró;42052;52582
2011;8;Biblioteca Canyelles;16397;24140
2011;8;Biblioteca Les Roquetes;99886;70487
2011;8;Biblioteca Nou Barris;224271;111294
2011;8;Biblioteca Vilapicina i la Torre Llobeta;16775;19289
2011;8;Biblioteca Zona Nord;93049;47645
2011;9;Biblioteca Bon Pastor;85870;59109
2011;9;Biblioteca Ignasi Iglésias - Can Fabra;370381;275334
2011;9;Biblioteca La Sagrera - Marina Clotet;72817;70436
2011;10;Biblioteca Poblenou - Manuel Arranz;195962;158786
2011;10;Biblioteca Ramon d'Alòs-Moner;51558;46846
2011;10;Biblioteca Sant Martí de Provençals;72690;60599
2011;10;Biblioteca Xavier Benguerel;147086;149041
2010;1;Biblioteca Barceloneta - La Fraternitat;102904;113139
2010;1;Biblioteca Francesca Bonnemaison;186969;177723
2010;1;Biblioteca Gòtic - Andreu Nin;59612;40006
2010;1;Biblioteca Sant Pau i Santa Creu;135428;78403
2010;2;Biblioteca Esquerra de l'Eixample-Agustí Centelles;49276;48898
2010;2;Biblioteca Fort Pienc;205977;147757
2010;2;Biblioteca Joan Miró;168185;172481
2010;2;Biblioteca Sagrada Família;367809;328539
2010;2;Biblioteca Sant Antoni - Joan Oliver;198325;131553
2010;2;Biblioteca Sofia Barat;108095;102372
2010;3;Biblioteca Francesc Candel;137635;110099
2010;3;Biblioteca Poble Sec - Francesc Boix;126287;101091
2010;3;Biblioteca Vapor Vell;379218;232595
2010;4;Biblioteca Can Rosés;109902;82154
2010;4;Biblioteca Les Corts - Miquel Llongueras;206224;143080
2010;5;Biblioteca Clarà;116181;112030
2010;5;Biblioteca Collserola - Josep Miracle;39025;35676
2010;6;Biblioteca Jaume Fuster;734698;358885
2010;6;Biblioteca Vila de Gràcia;229640;164932
2010;7;Biblioteca El Carmel - Juan Marsé;192399;149815
2010;7;Biblioteca Guinardó - Mercè Rodoreda;277441;177509
2010;7;Biblioteca Horta - Can Mariner;174866;131276
2010;7;Biblioteca Montbau - Albert Pérez Baró;40923;51574
2010;8;Biblioteca Canyelles;13913;22493
2010;8;Biblioteca Les Roquetes;95028;71255
2010;8;Biblioteca Nou Barris;312074;168835
2010;8;Biblioteca Vilapicina i la Torre Llobeta;18205;25716
2010;8;Biblioteca Zona Nord;89796;53307
2010;9;Biblioteca Bon Pastor;82938;59231
2010;9;Biblioteca Ignasi Iglésias - Can Fabra;371652;279866
2010;9;Biblioteca La Sagrera - Marina Clotet;65032;53823
2010;10;Biblioteca Poblenou - Manuel Arranz;204916;147336
2010;10;Biblioteca Ramon d'Alòs-Moner;56412;56223
2010;10;Biblioteca Sant Martí de Provençals;69594;58167
2010;10;Biblioteca Xavier Benguerel;149971;152313
